id,symbol,name,asset_class,currency,isin
1,SYM001,Instrument 1,EQUITY,USD,US0000000001
2,SYM002,Instrument 2,BOND,EUR,US0000000002
3,SYM003,Instrument 3,ETF,GBP,US0000000003
4,SYM004,Instrument 4,FX,JPY,US0000000004
5,SYM005,Instrument 5,COMMODITY,INR,US0000000005
6,SYM006,Instrument 6,EQUITY,USD,US0000000006
7,SYM007,Instrument 7,BOND,EUR,US0000000007
8,SYM008,Instrument 8,ETF,GBP,US0000000008
9,SYM009,Instrument 9,FX,JPY,US0000000009
10,SYM010,Instrument 10,COMMODITY,INR,US0000000010
11,SYM011,Instrument 11,EQUITY,USD,US0000000011
12,SYM012,Instrument 12,BOND,EUR,US0000000012
13,SYM013,Instrument 13,ETF,GBP,US0000000013
14,SYM014,Instrument 14,FX,JPY,US0000000014
15,SYM015,Instrument 15,COMMODITY,INR,US0000000015
16,SYM016,Instrument 16,EQUITY,USD,US0000000016
17,SYM017,Instrument 17,BOND,EUR,US0000000017
18,SYM018,Instrument 18,ETF,GBP,US0000000018
19,SYM019,Instrument 19,FX,JPY,US0000000019
20,SYM020,Instrument 20,COMMODITY,INR,US0000000020
21,SYM021,Instrument 21,EQUITY,USD,US0000000021
22,SYM022,Instrument 22,BOND,EUR,US0000000022
23,SYM023,Instrument 23,ETF,GBP,US0000000023
24,SYM024,Instrument 24,FX,JPY,US0000000024
25,SYM025,Instrument 25,COMMODITY,INR,US0000000025
26,SYM026,Instrument 26,EQUITY,USD,US0000000026
27,SYM027,Instrument 27,BOND,EUR,US0000000027
28,SYM028,Instrument 28,ETF,GBP,US0000000028
29,SYM029,Instrument 29,FX,JPY,US0000000029
30,SYM030,Instrument 30,COMMODITY,INR,US0000000030
31,SYM031,Instrument 31,EQUITY,USD,US0000000031
32,SYM032,Instrument 32,BOND,EUR,US0000000032
33,SYM033,Instrument 33,ETF,GBP,US0000000033
34,SYM034,Instrument 34,FX,JPY,US0000000034
35,SYM035,Instrument 35,COMMODITY,INR,US0000000035
36,SYM036,Instrument 36,EQUITY,USD,US0000000036
37,SYM037,Instrument 37,BOND,EUR,US0000000037
38,SYM038,Instrument 38,ETF,GBP,US0000000038
39,SYM039,Instrument 39,FX,JPY,US0000000039
40,SYM040,Instrument 40,COMMODITY,INR,US0000000040
41,SYM041,Instrument 41,EQUITY,USD,US0000000041
42,SYM042,Instrument 42,BOND,EUR,US0000000042
43,SYM043,Instrument 43,ETF,GBP,US0000000043
44,SYM044,Instrument 44,FX,JPY,US0000000044
45,SYM045,Instrument 45,COMMODITY,INR,US0000000045
46,SYM046,Instrument 46,EQUITY,USD,US0000000046
47,SYM047,Instrument 47,BOND,EUR,US0000000047
48,SYM048,Instrument 48,ETF,GBP,US0000000048
49,SYM049,Instrument 49,FX,JPY,US0000000049
50,SYM050,Instrument 50,COMMODITY,INR,US0000000050
