id,trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
1,TRD00001,1,1,EQUITY,BUY,101,50.5,2026-04-01,MATCHED
2,TRD00002,2,2,BOND,SELL,102,51.0,2026-04-02,MATCHED
3,TRD00003,3,3,ETF,BUY,103,51.5,2026-04-03,MATCHED
4,TRD00004,4,4,FX,SELL,104,52.0,2026-04-04,MATCHED
5,TRD00005,5,5,COMMODITY,BUY,105,52.5,2026-04-05,UNMATCHED
6,TRD00006,6,6,EQUITY,SELL,106,53.0,2026-04-06,MATCHED
7,TRD00007,7,7,BOND,BUY,107,53.5,2026-04-07,MATCHED
8,TRD00008,8,8,ETF,SELL,108,54.0,2026-04-08,MATCHED
9,TRD00009,9,9,FX,BUY,109,54.5,2026-04-09,MATCHED
10,TRD00010,10,10,COMMODITY,SELL,110,55.0,2026-04-10,UNMATCHED
11,TRD00011,11,1,EQUITY,BUY,111,55.5,2026-04-11,MATCHED
12,TRD00012,12,2,BOND,SELL,112,56.0,2026-04-12,MATCHED
13,TRD00013,13,3,ETF,BUY,113,56.5,2026-04-13,MATCHED
14,TRD00014,14,4,FX,SELL,114,57.0,2026-04-14,MATCHED
15,TRD00015,15,5,COMMODITY,BUY,115,57.5,2026-04-15,UNMATCHED
16,TRD00016,16,6,EQUITY,SELL,116,58.0,2026-04-16,MATCHED
17,TRD00017,17,7,BOND,BUY,117,58.5,2026-04-17,MATCHED
18,TRD00018,18,8,ETF,SELL,118,59.0,2026-04-18,MATCHED
19,TRD00019,19,9,FX,BUY,119,59.5,2026-04-19,MATCHED
20,TRD00020,20,10,COMMODITY,SELL,120,60.0,2026-04-20,UNMATCHED
21,TRD00021,21,1,EQUITY,BUY,121,60.5,2026-04-21,MATCHED
22,TRD00022,22,2,BOND,SELL,122,61.0,2026-04-22,MATCHED
23,TRD00023,23,3,ETF,BUY,123,61.5,2026-04-23,MATCHED
24,TRD00024,24,4,FX,SELL,124,62.0,2026-04-24,MATCHED
25,TRD00025,25,5,COMMODITY,BUY,125,62.5,2026-04-25,UNMATCHED
26,TRD00026,26,6,EQUITY,SELL,126,63.0,2026-04-26,MATCHED
27,TRD00027,27,7,BOND,BUY,127,63.5,2026-04-27,MATCHED
28,TRD00028,28,8,ETF,SELL,128,64.0,2026-04-28,MATCHED
29,TRD00029,29,9,FX,BUY,129,64.5,2026-04-29,MATCHED
30,TRD00030,30,10,COMMODITY,SELL,130,65.0,2026-04-30,UNMATCHED
31,TRD00031,31,1,EQUITY,BUY,131,65.5,2026-04-01,MATCHED
32,TRD00032,32,2,BOND,SELL,132,66.0,2026-04-02,MATCHED
33,TRD00033,33,3,ETF,BUY,133,66.5,2026-04-03,MATCHED
34,TRD00034,34,4,FX,SELL,134,67.0,2026-04-04,MATCHED
35,TRD00035,35,5,COMMODITY,BUY,135,67.5,2026-04-05,UNMATCHED
36,TRD00036,36,6,EQUITY,SELL,136,68.0,2026-04-06,MATCHED
37,TRD00037,37,7,BOND,BUY,137,68.5,2026-04-07,MATCHED
38,TRD00038,38,8,ETF,SELL,138,69.0,2026-04-08,MATCHED
39,TRD00039,39,9,FX,BUY,139,69.5,2026-04-09,MATCHED
40,TRD00040,40,10,COMMODITY,SELL,140,70.0,2026-04-10,UNMATCHED
41,TRD00041,41,1,EQUITY,BUY,141,70.5,2026-04-11,MATCHED
42,TRD00042,42,2,BOND,SELL,142,71.0,2026-04-12,MATCHED
43,TRD00043,43,3,ETF,BUY,143,71.5,2026-04-13,MATCHED
44,TRD00044,44,4,FX,SELL,144,72.0,2026-04-14,MATCHED
45,TRD00045,45,5,COMMODITY,BUY,145,72.5,2026-04-15,UNMATCHED
46,TRD00046,46,6,EQUITY,SELL,146,73.0,2026-04-16,MATCHED
47,TRD00047,47,7,BOND,BUY,147,73.5,2026-04-17,MATCHED
48,TRD00048,48,8,ETF,SELL,148,74.0,2026-04-18,MATCHED
49,TRD00049,49,9,FX,BUY,149,74.5,2026-04-19,MATCHED
50,TRD00050,50,10,COMMODITY,SELL,150,75.0,2026-04-20,UNMATCHED
51,TRD00051,1,1,EQUITY,BUY,151,75.5,2026-04-21,MATCHED
52,TRD00052,2,2,BOND,SELL,152,76.0,2026-04-22,MATCHED
53,TRD00053,3,3,ETF,BUY,153,76.5,2026-04-23,MATCHED
54,TRD00054,4,4,FX,SELL,154,77.0,2026-04-24,MATCHED
55,TRD00055,5,5,COMMODITY,BUY,155,77.5,2026-04-25,UNMATCHED
56,TRD00056,6,6,EQUITY,SELL,156,78.0,2026-04-26,MATCHED
57,TRD00057,7,7,BOND,BUY,157,78.5,2026-04-27,MATCHED
58,TRD00058,8,8,ETF,SELL,158,79.0,2026-04-28,MATCHED
59,TRD00059,9,9,FX,BUY,159,79.5,2026-04-29,MATCHED
60,TRD00060,10,10,COMMODITY,SELL,160,80.0,2026-04-30,UNMATCHED
61,TRD00061,11,1,EQUITY,BUY,161,80.5,2026-04-01,MATCHED
62,TRD00062,12,2,BOND,SELL,162,81.0,2026-04-02,MATCHED
63,TRD00063,13,3,ETF,BUY,163,81.5,2026-04-03,MATCHED
64,TRD00064,14,4,FX,SELL,164,82.0,2026-04-04,MATCHED
65,TRD00065,15,5,COMMODITY,BUY,165,82.5,2026-04-05,UNMATCHED
66,TRD00066,16,6,EQUITY,SELL,166,83.0,2026-04-06,MATCHED
67,TRD00067,17,7,BOND,BUY,167,83.5,2026-04-07,MATCHED
68,TRD00068,18,8,ETF,SELL,168,84.0,2026-04-08,MATCHED
69,TRD00069,19,9,FX,BUY,169,84.5,2026-04-09,MATCHED
70,TRD00070,20,10,COMMODITY,SELL,170,85.0,2026-04-10,UNMATCHED
71,TRD00071,21,1,EQUITY,BUY,171,85.5,2026-04-11,MATCHED
72,TRD00072,22,2,BOND,SELL,172,86.0,2026-04-12,MATCHED
73,TRD00073,23,3,ETF,BUY,173,86.5,2026-04-13,MATCHED
74,TRD00074,24,4,FX,SELL,174,87.0,2026-04-14,MATCHED
75,TRD00075,25,5,COMMODITY,BUY,175,50.0,2026-04-15,UNMATCHED
76,TRD00076,26,6,EQUITY,SELL,176,50.5,2026-04-16,MATCHED
77,TRD00077,27,7,BOND,BUY,177,51.0,2026-04-17,MATCHED
78,TRD00078,28,8,ETF,SELL,178,51.5,2026-04-18,MATCHED
79,TRD00079,29,9,FX,BUY,179,52.0,2026-04-19,MATCHED
80,TRD00080,30,10,COMMODITY,SELL,180,52.5,2026-04-20,UNMATCHED
81,TRD00081,31,1,EQUITY,BUY,181,53.0,2026-04-21,MATCHED
82,TRD00082,32,2,BOND,SELL,182,53.5,2026-04-22,MATCHED
83,TRD00083,33,3,ETF,BUY,183,54.0,2026-04-23,MATCHED
84,TRD00084,34,4,FX,SELL,184,54.5,2026-04-24,MATCHED
85,TRD00085,35,5,COMMODITY,BUY,185,55.0,2026-04-25,UNMATCHED
86,TRD00086,36,6,EQUITY,SELL,186,55.5,2026-04-26,MATCHED
87,TRD00087,37,7,BOND,BUY,187,56.0,2026-04-27,MATCHED
88,TRD00088,38,8,ETF,SELL,188,56.5,2026-04-28,MATCHED
89,TRD00089,39,9,FX,BUY,189,57.0,2026-04-29,MATCHED
90,TRD00090,40,10,COMMODITY,SELL,190,57.5,2026-04-30,UNMATCHED
91,TRD00091,41,1,EQUITY,BUY,191,58.0,2026-04-01,MATCHED
92,TRD00092,42,2,BOND,SELL,192,58.5,2026-04-02,MATCHED
93,TRD00093,43,3,ETF,BUY,193,59.0,2026-04-03,MATCHED
94,TRD00094,44,4,FX,SELL,194,59.5,2026-04-04,MATCHED
95,TRD00095,45,5,COMMODITY,BUY,195,60.0,2026-04-05,UNMATCHED
96,TRD00096,46,6,EQUITY,SELL,196,60.5,2026-04-06,MATCHED
97,TRD00097,47,7,BOND,BUY,197,61.0,2026-04-07,MATCHED
98,TRD00098,48,8,ETF,SELL,198,61.5,2026-04-08,MATCHED
99,TRD00099,49,9,FX,BUY,199,62.0,2026-04-09,MATCHED
100,TRD00100,50,10,COMMODITY,SELL,200,62.5,2026-04-10,UNMATCHED
101,TRD00101,1,1,EQUITY,BUY,201,63.0,2026-04-11,MATCHED
102,TRD00102,2,2,BOND,SELL,202,63.5,2026-04-12,MATCHED
103,TRD00103,3,3,ETF,BUY,203,64.0,2026-04-13,MATCHED
104,TRD00104,4,4,FX,SELL,204,64.5,2026-04-14,MATCHED
105,TRD00105,5,5,COMMODITY,BUY,205,65.0,2026-04-15,UNMATCHED
106,TRD00106,6,6,EQUITY,SELL,206,65.5,2026-04-16,MATCHED
107,TRD00107,7,7,BOND,BUY,207,66.0,2026-04-17,MATCHED
